f[GHz],theta[deg],phi[deg],RCS[dB]
26,-90,0,-2.1299
26,-88,0,-0.14291
26,-86,0,-0.84491
26,-84,0,-5.7329
26,-82,0,-18.182
26,-80,0,-8.3829
26,-78,0,-8.4279
26,-76,0,-11.509
26,-74,0,-12.157
26,-72,0,-11.793
26,-70,0,-17.6
26,-68,0,-23.732
26,-66,0,-21.857
26,-64,0,-36.984
26,-62,0,-17.818
26,-60,0,-13.87
26,-58,0,-21.588
26,-56,0,-18.41
26,-54,0,-10.261
26,-52,0,-6.6119
26,-50,0,-4.0549
26,-48,0,-2.8129
26,-46,0,-5.4329
26,-44,0,-7.0989
26,-42,0,-9.0119
26,-40,0,-11.328
26,-38,0,-12.964
26,-36,0,-16.505
26,-34,0,-21.065
26,-32,0,-19.156
26,-30,0,-13.882
26,-28,0,-13.758
26,-26,0,-12.6
26,-24,0,-12.388
26,-22,0,-11.826
26,-20,0,-11.302
26,-18,0,-12.983
26,-16,0,-12.187
26,-14,0,-14.298
26,-12,0,-15.087
26,-10,0,-22.097
26,-8,0,-20.972
26,-6,0,-10.851
26,-4,0,-7.0919
26,-2,0,-5.9049
26,0,0,-1.9969
26,2,0,1.6191
26,4,0,0.58509
26,6,0,-5.7679
26,8,0,-7.1819
26,10,0,-7.0749
26,12,0,-15.418
26,14,0,-29.106
26,16,0,-32.486
26,18,0,-21.649
26,20,0,-15.741
26,22,0,-11.988
26,24,0,-9.0359
26,26,0,-11.57
26,28,0,-16.322
26,30,0,-11.785
26,32,0,-12.768
26,34,0,-13.995
26,36,0,-14.666
26,38,0,-22.292
26,40,0,-17.867
26,42,0,-13.098
26,44,0,-14.567
26,46,0,-14.842
26,48,0,-11.681
26,50,0,-10.533
26,52,0,-9.1649
26,54,0,-6.6169
26,56,0,-7.5059
26,58,0,-10.829
26,60,0,-15.698
26,62,0,-20.176
26,64,0,-18.906
26,66,0,-29.008
26,68,0,-21.486
26,70,0,-16.527
26,72,0,-16.812
26,74,0,-10.69
26,76,0,-9.3129
26,78,0,-12.619
26,80,0,-12.434
26,82,0,-12.677
26,84,0,-10.277
26,86,0,-17.962
26,88,0,-14.837
26,90,0,-4.3129
26,-90,2,-11.126
26,-88,2,-7.8799
26,-86,2,-9.1909
26,-84,2,-10.731
26,-82,2,-9.0489
26,-80,2,-10.276
26,-78,2,-14.536
26,-76,2,-32.308
26,-74,2,-14.298
26,-72,2,-14.224
26,-70,2,-22.733
26,-68,2,-16.882
26,-66,2,-19.7
26,-64,2,-20.36
26,-62,2,-22.155
26,-60,2,-19.258
26,-58,2,-17.933
26,-56,2,-15.408
26,-54,2,-11.1
26,-52,2,-9.0859
26,-50,2,-9.1909
26,-48,2,-9.7059
26,-46,2,-9.8779
26,-44,2,-9.4879
26,-42,2,-13.365
26,-40,2,-14.823
26,-38,2,-16.418
26,-36,2,-18.871
26,-34,2,-27.915
26,-32,2,-28.922
26,-30,2,-27.808
26,-28,2,-19.816
26,-26,2,-17.608
26,-24,2,-16.665
26,-22,2,-15.967
26,-20,2,-13.152
26,-18,2,-15.529
26,-16,2,-12.841
26,-14,2,-14.403
26,-12,2,-16.171
26,-10,2,-24.801
26,-8,2,-22.331
26,-6,2,-11.957
26,-4,2,-7.6379
26,-2,2,-6.0359
26,0,2,-1.9059
26,2,2,1.9481
26,4,2,1.2501
26,6,2,-4.6419
26,8,2,-5.5889
26,10,2,-4.4469
26,12,2,-10.218
26,14,2,-19.357
26,16,2,-21.334
26,18,2,-21.9
26,20,2,-16.742
26,22,2,-11.893
26,24,2,-7.6089
26,26,2,-8.3599
26,28,2,-10.22
26,30,2,-8.0849
26,32,2,-9.5989
26,34,2,-10.115
26,36,2,-11.538
26,38,2,-18.831
26,40,2,-14.233
26,42,2,-12.185
26,44,2,-11.76
26,46,2,-10.556
26,48,2,-8.2059
26,50,2,-5.0959
26,52,2,-3.9779
26,54,2,-2.5269
26,56,2,-4.5609
26,58,2,-5.1839
26,60,2,-16.99
26,62,2,-19.509
26,64,2,-15.462
26,66,2,-11.995
26,68,2,-11.238
26,70,2,-13.159
26,72,2,-19.032
26,74,2,-14.079
26,76,2,-12.552
26,78,2,-12.244
26,80,2,-8.4669
26,82,2,-10.427
26,84,2,-10.501
26,86,2,-12.818
26,88,2,-16.991
26,90,2,-3.5649
26,-90,4,-20.82
26,-88,4,-39.558
26,-86,4,-31.067
26,-84,4,-20.855
26,-82,4,-11.035
26,-80,4,-16.318
26,-78,4,-18.518
26,-76,4,-24.892
26,-74,4,-20.424
26,-72,4,-20.112
26,-70,4,-22.117
26,-68,4,-23.849
26,-66,4,-21.89
26,-64,4,-25.922
26,-62,4,-29.316
26,-60,4,-24.516
26,-58,4,-25.895
26,-56,4,-20.241
26,-54,4,-25.937
26,-52,4,-34.824
26,-50,4,-18.792
26,-48,4,-22.633
26,-46,4,-21.995
26,-44,4,-26.074
26,-42,4,-34.684
26,-40,4,-18.51
26,-38,4,-25.862
26,-36,4,-39.168
26,-34,4,-24.129
26,-32,4,-24.95
26,-30,4,-21.361
26,-28,4,-21.702
26,-26,4,-24.185
26,-24,4,-18.032
26,-22,4,-17.51
26,-20,4,-14.727
26,-18,4,-16.357
26,-16,4,-13.851
26,-14,4,-15.671
26,-12,4,-16.88
26,-10,4,-30.212
26,-8,4,-25.259
26,-6,4,-12.734
26,-4,4,-8.0189
26,-2,4,-6.2199
26,0,4,-1.8389
26,2,4,2.2461
26,4,4,1.8091
26,6,4,-3.4579
26,8,4,-3.9169
26,10,4,-2.8859
26,12,4,-8.0959
26,14,4,-14.972
26,16,4,-16.247
26,18,4,-30.124
26,20,4,-19.635
26,22,4,-12.721
26,24,4,-8.0839
26,26,4,-8.2369
26,28,4,-9.4419
26,30,4,-9.5419
26,32,4,-10.81
26,34,4,-13.948
26,36,4,-17.461
26,38,4,-22.005
26,40,4,-13.55
26,42,4,-14.629
26,44,4,-18.577
26,46,4,-16.961
26,48,4,-12.62
26,50,4,-11.009
26,52,4,-11.068
26,54,4,-13.383
26,56,4,-11.112
26,58,4,-17.815
26,60,4,-21.303
26,62,4,-22.17
26,64,4,-22.49
26,66,4,-26.543
26,68,4,-20.351
26,70,4,-19.478
26,72,4,-21.493
26,74,4,-27.625
26,76,4,-19.444
26,78,4,-29.404
26,80,4,-17.535
26,82,4,-21.611
26,84,4,-34.534
26,86,4,-19.796
26,88,4,-17.268
26,90,4,-14.331
26,-90,6,-14.616
26,-88,6,-19.002
26,-86,6,-14.86
26,-84,6,-13.043
26,-82,6,-21.031
26,-80,6,-14.186
26,-78,6,-20.258
26,-76,6,-17.158
26,-74,6,-23.176
26,-72,6,-42.065
26,-70,6,-25.453
26,-68,6,-28.502
26,-66,6,-22.137
26,-64,6,-18.453
26,-62,6,-19.072
26,-60,6,-24.932
26,-58,6,-25.264
26,-56,6,-23.758
26,-54,6,-22.549
26,-52,6,-22.275
26,-50,6,-14.991
26,-48,6,-19.229
26,-46,6,-20.057
26,-44,6,-16.833
26,-42,6,-17.048
26,-40,6,-23.369
26,-38,6,-20.056
26,-36,6,-19.942
26,-34,6,-30.329
26,-32,6,-24.952
26,-30,6,-21.04
26,-28,6,-21.477
26,-26,6,-19.491
26,-24,6,-24.185
26,-22,6,-21.678
26,-20,6,-17.669
26,-18,6,-18.508
26,-16,6,-15.94
26,-14,6,-18.854
26,-12,6,-18.909
26,-10,6,-39.128
26,-8,6,-28.653
26,-6,6,-13.524
26,-4,6,-8.3599
26,-2,6,-6.3659
26,0,6,-1.7249
26,2,6,2.5291
26,4,6,2.3181
26,6,6,-2.2049
26,8,6,-2.3989
26,10,6,-2.2389
26,12,6,-8.0529
26,14,6,-13.795
26,16,6,-14.751
26,18,6,-25.42
26,20,6,-23.022
26,22,6,-15.304
26,24,6,-10.824
26,26,6,-11.656
26,28,6,-16.291
26,30,6,-15.685
26,32,6,-18.032
26,34,6,-28.838
26,36,6,-21.378
26,38,6,-24.238
26,40,6,-23.283
26,42,6,-20.088
26,44,6,-22.775
26,46,6,-21.39
26,48,6,-21.201
26,50,6,-20.735
26,52,6,-14.18
26,54,6,-16.921
26,56,6,-16.239
26,58,6,-19.084
26,60,6,-24.095
26,62,6,-35.437
26,64,6,-21.025
26,66,6,-27.885
26,68,6,-35.001
26,70,6,-21.509
26,72,6,-30.373
26,74,6,-24.603
26,76,6,-19.497
26,78,6,-18.84
26,80,6,-20.442
26,82,6,-15.755
26,84,6,-17.485
26,86,6,-19.519
26,88,6,-18.365
26,90,6,-18.963
26,-90,8,-22.37
26,-88,8,-25.474
26,-86,8,-26.439
26,-84,8,-25.503
26,-82,8,-17.684
26,-80,8,-22.249
26,-78,8,-19.326
26,-76,8,-18.984
26,-74,8,-19.091
26,-72,8,-22.026
26,-70,8,-45.77
26,-68,8,-28.857
26,-66,8,-26.977
26,-64,8,-23.276
26,-62,8,-20.199
26,-60,8,-24.005
26,-58,8,-32.391
26,-56,8,-28.323
26,-54,8,-22.777
26,-52,8,-21.818
26,-50,8,-31.077
26,-48,8,-23.049
26,-46,8,-25.646
26,-44,8,-21.801
26,-42,8,-28.64
26,-40,8,-39.429
26,-38,8,-34.572
26,-36,8,-22.816
26,-34,8,-32.848
26,-32,8,-31.351
26,-30,8,-23.381
26,-28,8,-26.307
26,-26,8,-21.278
26,-24,8,-21.132
26,-22,8,-36.443
26,-20,8,-22.85
26,-18,8,-24.462
26,-16,8,-18.86
26,-14,8,-28.758
26,-12,8,-23.352
26,-10,8,-35.469
26,-8,8,-33.506
26,-6,8,-14.203
26,-4,8,-8.6849
26,-2,8,-6.5199
26,0,8,-1.6639
26,2,8,2.7921
26,4,8,2.7261
26,6,8,-1.1429
26,8,8,-1.3409
26,10,8,-2.1529
26,12,8,-9.1329
26,14,8,-14.679
26,16,8,-15.683
26,18,8,-22.091
26,20,8,-23.772
26,22,8,-21.174
26,24,8,-16.082
26,26,8,-20.494
26,28,8,-28.494
26,30,8,-20.98
26,32,8,-26.917
26,34,8,-32.682
26,36,8,-23.595
26,38,8,-28.061
26,40,8,-20.944
26,42,8,-20.718
26,44,8,-19.429
26,46,8,-35.071
26,48,8,-28.127
26,50,8,-22.202
26,52,8,-14.904
26,54,8,-18.115
26,56,8,-25.133
26,58,8,-30.281
26,60,8,-27.697
26,62,8,-28.728
26,64,8,-40.168
26,66,8,-27.108
26,68,8,-23.668
26,70,8,-25.307
26,72,8,-25.952
26,74,8,-28.83
26,76,8,-19.595
26,78,8,-25.933
26,80,8,-18.286
26,82,8,-20.487
26,84,8,-28.474
26,86,8,-35.806
26,88,8,-30.793
26,90,8,-13.438
26,-90,10,-20.896
26,-88,10,-17.246
26,-86,10,-16.619
26,-84,10,-16.576
26,-82,10,-19.822
26,-80,10,-24.767
26,-78,10,-24.998
26,-76,10,-16.378
26,-74,10,-15.981
26,-72,10,-20.257
26,-70,10,-25.173
26,-68,10,-30.155
26,-66,10,-34.847
26,-64,10,-20.811
26,-62,10,-19.298
26,-60,10,-22.539
26,-58,10,-25.339
26,-56,10,-28.406
26,-54,10,-29.904
26,-52,10,-40.666
26,-50,10,-24.872
26,-48,10,-23.848
26,-46,10,-28.154
26,-44,10,-26.943
26,-42,10,-22.728
26,-40,10,-22.464
26,-38,10,-25.083
26,-36,10,-35.092
26,-34,10,-36.032
26,-32,10,-29.22
26,-30,10,-30.956
26,-28,10,-20.812
26,-26,10,-32.996
26,-24,10,-23.779
26,-22,10,-21.882
26,-20,10,-31.309
26,-18,10,-25.536
26,-16,10,-21.95
26,-14,10,-27.721
26,-12,10,-47.855
26,-10,10,-34.73
26,-8,10,-28.423
26,-6,10,-14.641
26,-4,10,-9.0559
26,-2,10,-6.7599
26,0,10,-1.5859
26,2,10,3.0211
26,4,10,3.1081
26,6,10,-0.27391
26,8,10,-0.86291
26,10,10,-2.7069
26,12,10,-10.204
26,14,10,-16.767
26,16,10,-17.535
26,18,10,-18.514
26,20,10,-24.944
26,22,10,-23.886
26,24,10,-19.891
26,26,10,-24.11
26,28,10,-21.564
26,30,10,-21.966
26,32,10,-27.898
26,34,10,-30.494
26,36,10,-28.921
26,38,10,-33.128
26,40,10,-21.644
26,42,10,-35.835
26,44,10,-21.045
26,46,10,-32.473
26,48,10,-29.464
26,50,10,-36.079
26,52,10,-28.804
26,54,10,-24.474
26,56,10,-20.78
26,58,10,-30.688
26,60,10,-31.193
26,62,10,-26.136
26,64,10,-28.57
26,66,10,-23.828
26,68,10,-30.381
26,70,10,-30.503
26,72,10,-34.371
26,74,10,-31.986
26,76,10,-35.491
26,78,10,-39.77
26,80,10,-18.758
26,82,10,-19.771
26,84,10,-30.578
26,86,10,-24.841
26,88,10,-16.338
26,90,10,-17.39
26,-90,12,-20.661
26,-88,12,-16.844
26,-86,12,-15.241
26,-84,12,-13.373
26,-82,12,-14.976
26,-80,12,-23.197
26,-78,12,-21.739
26,-76,12,-15.927
26,-74,12,-22.086
26,-72,12,-30.396
26,-70,12,-25.817
26,-68,12,-22.318
26,-66,12,-27.93
26,-64,12,-28.14
26,-62,12,-27.398
26,-60,12,-17.734
26,-58,12,-18.602
26,-56,12,-30.263
26,-54,12,-31.581
26,-52,12,-25.626
26,-50,12,-21.238
26,-48,12,-26.547
26,-46,12,-25.281
26,-44,12,-28.484
26,-42,12,-27.849
26,-40,12,-24.434
26,-38,12,-27.54
26,-36,12,-33.384
26,-34,12,-42.419
26,-32,12,-29.363
26,-30,12,-28.578
26,-28,12,-19.355
26,-26,12,-23.315
26,-24,12,-28.73
26,-22,12,-21.594
26,-20,12,-34.745
26,-18,12,-22.895
26,-16,12,-28.804
26,-14,12,-20.353
26,-12,12,-24.293
26,-10,12,-33.921
26,-8,12,-24.542
26,-6,12,-15.411
26,-4,12,-9.2369
26,-2,12,-6.9639
26,0,12,-1.5939
26,2,12,3.2231
26,4,12,3.4101
26,6,12,0.32009
26,8,12,-1.0329
26,10,12,-3.8449
26,12,12,-10.802
26,14,12,-20.073
26,16,12,-18.515
26,18,12,-16.603
26,20,12,-24.714
26,22,12,-25.561
26,24,12,-19.383
26,26,12,-21.091
26,28,12,-19.806
26,30,12,-19.551
26,32,12,-29.884
26,34,12,-25.06
26,36,12,-23.269
26,38,12,-42.728
26,40,12,-25.063
26,42,12,-25.667
